FOCAL,INDUCER,TREATMENT,SUBPLOT,FILENAME,PLOT,POSITION,COMBO,RESIDENT.CODE,LEAF.TYPE,LEAF.LENGTH.SQUARES,LEAF.MAX.WIDTH,POSITION.MAX.WIDTH,FORM,MARGINS,LOBES,TOTAL.AREA,AVERAGE.SIZE,PERCENT.AREA,MAJOR,MINOR,ANGLE,CIRCULARITY,SOLODITY,COMMENTS
Cen,Sin,Sin(Cen),5-B,5B_10LL.JPG,5,10,5-B:10,None-3,Longest,16.748,2.48,11.711,obovate,smooth,,25.376,25.376,7.018,14.772,2.187,98.928,0.237,0.859,
Cen,Sin,Sin(Cen),5-B,5B_10ML.JPG,5,10,5-B:10,None-3,Medium leaf,14.915,0.723,9.978,Oblong,smooth,,9.551,9.551,5.686,14.24,0.854,82.451,0.078,0.685,leaf partially folded
Sin,None,None(Sin),5-B,5B_13LL.JPG,5,13,5-B:13,None-3,Longest,30.27,16.431,11.975,oval,toothed lobed,3,353.335,353.335,38.028,28.865,15.585,13.596,0.398,0.887,
Sin,None,None(Sin),5-B,5B_13ML.JPG,5,13,5-B:13,None-3,Medium leaf,18.561,9.755,6.528,obvate,toothed,,119.702,119.702,39.579,18.12,8.411,127.82,0.449,0.9,not whole leaf measured
Sin,Cen,Cen(Sin),5-B,5B_15LL.JPG,5,15,5-B:15,None-3,Longest,21.369,9.014,11.514,Oblong,toothed,3,134.55,134.55,42.194,19.868,8.622,0.246,0.307,0.89,
Sin,Cen,Cen(Sin),5-B,5B_15ML.JPG,5,15,5-B:15,None-3,Medium leaf,17.608,5.951,6.262,ovate,toothed,2,69.554,69.554,44.677,16.712,5.299,175.319,0.314,0.849,
Cen,Bug,Bug(Cen),6-A,6A_11LL.JPG,6,11,6-A:11,Bug-2,Longest,19.075,3.705,13.322,obovate,smooth,,44.529,44.529,17.966,17.625,3.217,81.467,0.309,0.851,
Cen,Bug,Bug(Cen),6-A,6A_11ML.JPG,6,11,6-A:11,Bug-2,Medium leaf,16.633,0.774,10.641,obovate,smooth,,10.78,10.78,6.907,13.242,1.037,84.729,0.106,0.542,partially folded
Pap,None,None(Pap),6-A,6A_13LL.JPG,6,13,6-A:13,Bug-2,Longest,7.625,1.629,5.01,Oblong,smooth,,10.654,10.654,14.094,8.106,1.674,12.975,0.344,0.916,
Pap,None,None(Pap),6-A,6A_13ML.JPG,6,13,6-A:13,Bug-2,Medium leaf,6.807,1.406,2.879,Oblong,smooth,,7.973,7.973,11.57,6.436,1.577,35.07,0.308,0.807,
Cen,Sil,Sil(Cen),6-B,6B_5LL.JPG,6,5,6-B:5,Sil-2,Longest,6.551,1.35,3.765,obovate,smooth,,6.247,6.247,8.242,5.928,1.342,170.455,0.317,0.883,no 6B_5ML found
Pap,Sil,Sil(Pap),6-B,6B_6LL.JPG,6,6,6-B:6,Sil-2,Longest,9.487,4.4,5.438,obovate,toothed,7,18.65,18.65,15.932,8.151,2.913,159.594,0.132,0.681,no 6B_6ML found
Sin,Sil,Sil(Sin),6-B,6B_8LL.JPG,6,8,6-B:8,Sil-2,Longest,31.631,13.584,16.132,Elliptic,smooth,3,312.345,156.172,41.086,17.775,7.152,53.17,0.333,0.838,herbyvory
Sin,Sil,Sil(Sin),6-B,6B_8ML.JPG,6,8,6-B:8,Sil-2,Medium leaf,11.012,6.122,3.169,ovate,toothed,,48.298,48.298,37.376,10.522,5.844,6.841,0.23,0.927,
Bug,None,None(Bug),6-B,6B_10LL.JPG,6,10,6-B:10,Sil-2,Longest,11.765,2.604,7.591,Oblong,smooth,,25.075,25.075,18.133,12.195,2.618,0.155,0.34,0.973,
Bug,None,None(Bug),6-B,6B_10ML.JPG,6,10,6-B:10,Sil-2,Medium leaf,8.877,2.3,2.171,ovate,smooth,,15.665,15.665,15,9.05,2.204,18.878,0.378,0.965,
Sil,Sil,Sil(Sil),6-B,6B_11LL.JPG,6,11,6-B:11,Sil-2,Longest,10.394,4.748,5.241,Elliptic,smooth,,31.496,31.496,25.966,9.314,4.306,95.436,0.421,0.896,
Sil,Sil,Sil(Sil),6-B,6B_11ML.JPG,6,11,6-B:11,Sil-2,Medium leaf,7.904,3.66,3.511,Elliptic,smooth,,20.166,20.166,16.762,7.263,3.535,64.731,0.586,0.966,
Sil,Cen,Cen(Sil),7-A,7A_1LL.JPG,7,1,7-A:1,Cen-3,Longest,4.767,2.359,1.987,obovate,smooth,,9.448,9.448,23.48,5.006,2.403,24.451,0.593,0.964,"not whole leaf on board and bad quality picture, no ML found"
Bug,Cen,Cen(Bug),7-A,7A_10LL.JPG,7,10,7-A:10,Cen-3,Longest,5.461,1.873,3.377,obovate,smooth,,7.908,7.908,23.282,5.629,1.789,88.497,0.45,0.935,
Cen,Bug,Bug(Cen),7-B,7B_14LL.JPG,7,14,7-B:14,Bug-3,Longest,21.356,1.972,14.238,obovate,smooth,,30.053,30.053,9.918,15.646,2.446,70.561,0.15,0.527,
Cen,Bug,Bug(Cen),7-B,7B_14ML.JPG,7,14,7-B:14,Bug-3,Medium leaf,15.04,0.452,8.292,Oblong,smooth,,7.344,7.344,6.726,9.986,0.936,165.796,0.091,0.412,leaf folded
Sin,Cen,Cen(Sin),9-A,9A_7LL.JPG,9,7,9-A:7,Cen-2,Longest,12.547,7.947,5.083,Elliptic,toothed,,77.064,77.064,40.568,12.774,7.681,91.391,0.639,0.942,
Sin,Cen,Cen(Sin),9-A,9A_7ML.JPG,9,7,9-A:7,Cen-2,Medium leaf,10.338,4.752,4.662,Elliptic,toothed,,36.165,36.165,35.333,10.029,4.591,166.457,0.514,0.936,
Bug,Cen,Cen(Bug),10-A,10A_2LL.JPG,10,2,10-A:2,None-2,Longest,3.702,0.976,2.765,Oblong,smooth,,2.961,2.961,12.753,3.86,0.977,126.427,0.29,0.921,
Bug,Cen,Cen(Bug),10-A,10A_2ML.JPG,10,2,10-A:2,None-2,Medium leaf,2.943,0.931,1.849,oblong,smooth,,2.348,2.348,8.687,3.16,0.946,68.413,0.22,0.893,
Cen,None,None(Cen),10-A,10A_4LL.JPG,10,4,10-A:4,None-2,Longest,17.044,2.533,10.642,obovate,smooth,,28.821,28.821,22.746,15.506,2.367,5.758,0.223,0.856,
Cen,None,None(Cen),10-A,10A_4ML.JPG,10,4,10-A:4,None-2,Medium leaf,13.599,0.43,8.069,oblong,smooth,,11.099,11.099,10.336,12.486,1.132,26.774,0.142,0.682,
Sin,Sil,Sil(Sin),10-A,10A_5LL.JPG,10,5,10-A:5,None-2,Longest,16.933,8.278,7.484,ovate,crenate,,97.473,97.473,41.294,15.991,7.761,11.01,0.388,0.869,"herbivory, leaf partially covered by thumb"
Sin,Sil,Sil(Sin),10-A,10A_5ML.JPG,10,5,10-A:5,None-2,Medium leaf,11.483,6.486,6.812,obovate,crenate,3,53.299,53.299,46.608,10.884,6.235,171.602,0.351,0.887,
Pap,Sin,Sin(Pap),10-A,10A_6LL.JPG,10,6,10-A:6,None-2,Longest,13.612,5.101,8.644,Elliptic,toothed,9,30.464,30.464,16.424,11.173,3.472,92.705,0.058,0.562,
Pap,Sin,Sin(Pap),10-A,10A_6ML.JPG,10,6,10-A:6,None-2,Medium leaf,13.437,3.859,8.713,obovate,toothed,6,40.114,40.114,18.941,11.6,4.403,77.499,0.132,0.691,
