FOCAL,INDUCER,TREATMENT,SUBPLOT,FILENAME,PLOT,POSITION,COMBO,RESIDENT.CODE,LEAF.TYPE,LEAF.LENGTH.SQUARES,LEAF.MAX.WIDTH,POSITION.MAX.WIDTH,FORM,MARGINS,LOBES,TOTAL.AREA,AVERAGE.SIZE,PERCENT.AREA,MAJOR,MINOR,ANGLE,CIRCULARITY,SOLODITY,COMMENTS
Pap,Sil,Sil(Pap),14-A,14A_15ML.JPG,14,15,14-A:15,None-4,Medium leaf,4.501,1.329,3.333,obovate,toothed,7,4.151,4.151,20.241,4.321,1.223,42.823,0.187,0.649,
Cen,None,None(Cen),14-B,14B_2LL.JPG,14,2,14-B:2,None-4,Longest,11.249,2.276,8.586,obovate,toothed,,13.23,13.23,22.935,9.014,1.869,4.773,0.241,0.807,
Cen,None,None(Cen),14-B,14B_2ML.JPG,14,2,14-B:2,None-4,Medium leaf,9.889,1.007,7.437,obovate,smooth,3,7.311,7.311,11.011,6.047,1.539,179.46,0.074,0.258,
Sin,Bug,Bug(Sin),14-B,14B_3LL.JPG,14,3,14-B:3,None-4,Longest,11.947,6.11,5.776,Elliptic,toothed,3,50.857,50.857,44.163,11.372,5.694,177.052,0.387,0.878,
Sin,Bug,Bug(Sin),14-B,14B_3ML.JPG,14,3,14-B:3,None-4,Medium leaf,9.392,4.77,3.685,Elliptic,toothed,,32.576,32.576,53.712,9.299,4.46,179.337,0.473,0.875,
Cen,Cen,Cen(Cen),14-B,14B_5LL.JPG,14,5,14-B:5,None-4,Longest,12.132,1.263,8.336,obovate,smooth,,9.28,9.28,13.131,11.642,1.015,107.822,0.163,0.86,
Cen,Cen,Cen(Cen),14-B,14B_5ML.JPG,14,5,14-B:5,None-4,Medium leaf,14.003,0.533,6.862,oblong,smooth,,8.285,8.285,15.565,14.919,0.707,177.721,0.113,0.782,leaf partially folded
Pap,Bug,Bug(Pap),14-B,14B_6LL.JPG,14,6,14-B:6,None-4,Longest,7.858,2.172,5.364,obovate,toothed,,11.458,11.458,16.562,7.336,1.989,21.093,0.382,0.902,
Pap,Bug,Bug(Pap),14-B,14B_6ML.JPG,14,6,14-B:6,None-4,Medium leaf,7.145,2.338,5,obovate,toothed,,11.693,11.693,14.998,6.801,2.189,116.255,0.348,0.864,
Sin,Sin,Sin(Sin),14-B,14B_7LL.JPG,14,7,14-B:7,None-4,Longest,10.617,5.227,6.655,elliptic,toothed,,40.078,40.078,47.799,10.346,4.932,12.438,0.474,0.916,
Sin,Sin,Sin(Sin),14-B,14B_7ML.JPG,14,7,14-B:7,None-4,Medium leaf,8.737,4.659,3.05,ovate,toothed,,26.826,26.826,51.909,8.335,4.098,12.481,0.446,0.886,
Sil,None,None(Sil),14-B,14B_8LL.JPG,14,8,14-B:8,None-4,Longest,7.381,3.386,3.442,Elliptic,smooth,,16.98,16.98,25.48,6.661,3.246,2.107,0.542,0.936,
Sil,None,None(Sil),14-B,14B_8ML.JPG,14,8,14-B:8,None-4,Medium leaf,10.735,5.113,5.254,Elliptic,smooth,,37.162,37.162,33.918,9.614,4.921,113.705,0.51,0.95,
Pap,Sin,Sin(Pap),14-B,14B_9LL.JPG,14,9,14-B:9,None-4,Longest,12.278,3.506,9.259,obovate,toothed,4,29.322,29.322,19.477,11.662,3.201,137.491,0.237,0.72,
Pap,Sin,Sin(Pap),14-B,14B_9ML.JPG,14,9,14-B:9,None-4,Medium leaf,12.085,4.546,8.265,obovate,toothed,6,30.562,30.562,27.904,10.833,3.592,126.708,0.122,0.69,
Bug,Cen,Cen(Bug),14-B,14B_11LL.JPG,14,11,14-B:11,None-4,Longest,8.465,2.111,4.514,Oblong,smooth,,13.131,6.566,11.083,4.412,1.768,41.202,0.331,0.836,
Bug,Cen,Cen(Bug),14-B,14B_11ML.JPG,14,11,14-B:11,None-4,Medium leaf,7.095,2.265,4.115,obovate,smooth,,12.6,12.6,11.6,6.95,2.308,175.476,0.374,0.939,herbivory
Pap,Pap,Pap(Pap),14-B,14B_13LL.JPG,14,13,14-B:13,None-4,Longest,14.485,4.65,10.189,obovate,toothed,5,34.134,34.134,16.73,12.63,3.441,12.519,0.17,0.638,
Pap,Pap,Pap(Pap),14-B,14B_13ML.JPG,14,13,14-B:13,None-4,Medium leaf,9.944,2.198,7.612,obovate,toothed,7,17.669,17.669,25.589,8.882,2.533,178.777,0.12,0.685,
Cen,Pap,Pap(Cen),14-B,14B_14LL.JPG,14,14,14-B:14,None-4,Longest,21.636,2.06,12.228,Elliptic,smooth,,32.384,32.384,18.33,20.4,2.021,173.977,0.19,0.916,
Cen,Pap,Pap(Cen),14-B,14B_14ML.JPG,14,14,14-B:14,None-4,Medium leaf,23.149,1.698,10.756,oblong,smooth,,33.711,33.711,29.349,23.373,1.836,1.491,0.162,0.943,
Bug,Bug,Bug(Bug),14-B,14B_15LL.JPG,14,15,14-B:15,None-4,Longest,7.427,1.308,3.396,oblong,smooth,,9.418,9.418,9.141,7.332,1.636,73.109,0.321,0.908,
Sin,Bug,Bug(Sin),15-A,15A_7LL.JPG,15,7,15-A:7,Bug-1,Longest,9.07,4.577,5.754,obovate,crenate,,32.683,32.683,42.584,8.923,4.663,77.347,0.518,0.929,
Sin,Bug,Bug(Sin),15-A,15A_7ML.JPG,15,7,15-A:7,Bug-1,Medium leaf,8.79,4.132,3.379,ovate,toothed,,27.109,27.109,36.966,8.383,4.117,115.5,0.386,0.894,
Pap,Bug,Bug(Pap),15-A,15A_10LL.JPG,15,10,15-A:10,Bug-1,Longest,3.279,1.175,2.356,obovate,toothed,,2.476,2.476,10.749,2.831,1.114,167.846,0.37,0.896,
Sil,Sil,Sil(Sil),15-A,15A_12LL.JPG,15,12,15-A:12,Bug-1,Longest,6.089,2.669,2.545,ovate,smooth,,12.154,12.154,20.629,5.676,2.726,72.965,0.62,0.961,
Sil,Sil,Sil(Sil),15-A,15A_12ML.JPG,15,12,15-A:12,Bug-1,Medium leaf,5.039,2.183,2.736,Elliptic,smooth,,8.875,8.875,20.36,4.874,2.319,53.76,0.62,0.975,
Cen,Cen,Cen(Cen),15-A,15A_13LL.JPG,15,13,15-A:13,Bug-1,Longest,10.656,1.085,5.339,Elliptic,smooth,,9.694,9.694,8.367,10.032,1.23,10.062,0.232,0.944,
Cen,Cen,Cen(Cen),15-A,15A_13ML.JPG,15,13,15-A:13,Bug-1,Medium leaf,10.696,0.558,4.235,Elliptic,smooth,,4.805,4.805,2.173,9.014,0.679,19.682,0.11,0.762,leaf partially folded
Sil,Bug,Bug(Sil),15-A,15A_15LL.JPG,15,15,15-A:15,Bug-1,Longest,3.807,1.429,2.01,Elliptic,smooth,,3.549,3.549,14.747,3.368,1.341,26.619,0.399,0.921,
Sil,Bug,Bug(Sil),15-A,15A_15ML.JPG,15,15,15-A:15,Bug-1,Medium leaf,4.801,1.576,2.228,Elliptic,smooth,,5.431,5.431,9.743,4.181,1.654,12.185,0.193,0.92,picture askew
Cen,Cen,Cen(Cen),15-B,15B_3LL.JPG,15,3,15-B:3,Pap-1,Longest,8.264,0.674,5.765,obovate,smooth,,3.529,3.529,5.836,7.565,0.594,103.81,0.139,0.723,leaf partially folded
Cen,Cen,Cen(Cen),15-B,15B_3ML.JPG,15,3,15-B:3,Pap-1,Medium leaf,10.865,0.799,4.452,oblong,smooth,,7.904,7.904,8.902,11.763,0.855,86.895,0.16,0.935,
Bug,Pap,Pap(Bug),15-B,15B_6LL.JPG,15,6,15-B:6,Pap-1,Longest,2.754,0.716,1.589,obovate,smooth,,1.606,1.606,5.661,2.695,0.759,85.128,0.485,0.947,picture askew
Bug,Pap,Pap(Bug),15-B,15B_6ML.JPG,15,6,15-B:6,Pap-1,Medium leaf,3.015,0.458,1.264,oblong,smooth,,1.221,1.221,5.585,2.83,0.549,111.895,0.304,0.791,
Sil,Sil,Sil(Sil),15-B,15B_10LL.JPG,15,10,15-B:10,Pap-1,Longest,4.727,2.198,2.327,Elliptic,smooth,,7.125,7.125,26.455,4.201,2.16,145.184,0.571,0.955,
Sil,Sil,Sil(Sil),15-B,15B_10ML.JPG,15,10,15-B:10,Pap-1,Medium leaf,5.011,2.482,2.452,Elliptic,smooth,,8.941,8.941,28.166,4.668,2.439,58.397,0.694,0.984,
Sil,None,None(Sil),15-B,15B_11LL.JPG,15,11,15-B:11,Pap-1,Longest,4.241,1.855,1.954,Elliptic,smooth,,5.733,5.733,21.067,3.958,1.844,96.142,0.626,0.964,herbivory
Sil,None,None(Sil),15-B,15B_11ML.JPG,15,11,15-B:11,Pap-1,Medium leaf,5.094,1.656,2.919,elliptic,smooth,,5.036,5.036,13.039,4.682,1.369,104.979,0.37,0.916,leaf partially folded
Cen,Pap,Pap(Cen),15-B,15B_13LL.JPG,15,13,15-B:13,Pap-1,Longest,3.153,0.768,1.709,oblong,smooth,,1.988,1.988,11.346,2.982,0.849,37.901,0.451,0.934,
Cen,Pap,Pap(Cen),16-A,16A_15LL.JPG,16,15,16-A:15,Pap-3,Longest,6.171,0.929,4.562,Oblong,smooth,,4.936,4.936,9.141,6.54,0.961,107.058,0.262,0.897,
Cen,Bug,Bug(Cen),19-A,19A_2LL.JPG,19,2,19-A:2,Bug-7,Longest,12.042,1.484,6.506,Oblong,smooth,,13.357,13.357,13.166,10.749,1.582,1.598,0.235,0.788,
Cen,Bug,Bug(Cen),19-A,19A_2ML.JPG,19,2,19-A:2,Bug-7,Medium leaf,9.153,0.605,5.335,Oblong,smooth,,4.109,4.109,5.611,8.278,0.632,96.509,0.119,0.659,
Cen,Cen,Cen(Cen),20-A,20A_1LL.JPG,20,1,20-A:1,None-5,Longest,14.938,1.318,8.192,Oblong,smooth,,12.377,12.377,6.869,13.411,1.175,174.052,0.148,0.626,
Cen,Cen,Cen(Cen),20-A,20A_1ML.JPG,20,1,20-A:1,None-5,Medium leaf,15.059,1.135,8.155,Oblong,smooth,,13.142,13.142,11.31,14.974,1.118,6.686,0.12,0.749,leaf partially folded
Sin,Sil,Sil(Sin),20-A,20A_3LL.JPG,20,3,20-A:3,None-5,Longest,18.587,10.794,8.253,Elliptic,crenate,,137.495,137.495,55.093,17.948,9.754,84.231,0.485,0.891,
Sin,Sil,Sil(Sin),20-A,20A_3ML.JPG,20,3,20-A:3,None-5,Medium leaf,17.359,9.778,3.901,ovate,crenate,,111.968,111.968,50.127,16.223,8.787,90.893,0.589,0.936,picture askew
Pap,Pap,Pap(Pap),20-A,20A_5LL.JPG,20,5,20-A:5,None-5,Longest,8.616,2.874,4.367,Elliptic,toothed,3,16.298,16.298,23.061,7.644,2.715,111.039,0.33,0.842,
Pap,Pap,Pap(Pap),20-A,20A_5ML.JPG,20,5,20-A:5,None-5,Medium leaf,6.588,1.997,3.37,Oblong,toothed,,9.438,9.438,19.677,5.962,2.016,8.684,0.421,0.89,
Bug,None,None(Bug),20-A,20A_7LL.JPG,20,7,20-A:7,None-5,Longest,14.007,3.199,8.638,oblong,smooth,,37.862,18.931,34.813,7.118,2.912,51.44,0.532,0.92,
Bug,None,None(Bug),20-A,20A_7ML.JPG,20,7,20-A:7,None-5,Medium leaf,8.444,2.499,3.556,oblong,smooth,,18.252,18.252,23.222,9.098,2.554,78.249,0.333,0.913,
Pap,Bug,Bug(Pap),20-A,20A_9LL.JPG,20,9,20-A:9,None-5,Longest,14.168,6.952,7.377,Elliptic,toothed,6,38.903,38.903,28.31,11.343,4.367,177.21,0.097,0.568,leaf partially folded
Pap,Bug,Bug(Pap),20-A,20A_9ML.JPG,20,9,20-A:9,None-5,Medium leaf,17.134,7.903,7.747,,toothed,8,60.755,60.755,30.364,13.371,5.785,74.677,0.105,0.639,leaf partially folded
Sin,Cen,Cen(Sin),20-A,20A_10LL.JPG,20,10,20-A:10,None-5,Longest,21.321,11.63,9.749,Elliptic,crenate,,168.017,168.017,55.268,20.539,10.415,178.033,0.306,0.863,picture askew
Sin,Cen,Cen(Sin),20-A,20A_10ML.JPG,20,10,20-A:10,None-5,Medium leaf,13.687,6.669,3.535,ovate,crenate,,67.436,67.436,45.129,13.28,6.466,120.385,0.402,0.894,
Cen,None,None(Cen),20-A,20A_11LL.JPG,20,11,20-A:11,None-5,Longest,12.839,2.043,6.794,Elliptic,smooth,,16.111,16.111,28.375,11.251,1.823,85.276,0.11,0.826,
Cen,None,None(Cen),20-A,20A_11ML.JPG,20,11,20-A:11,None-5,Medium leaf,12.558,0.935,8.304,obovate,smooth,5,9.447,9.447,15.165,9.795,1.228,86.203,0.073,0.338,
Cen,Sin,Sin(Cen),20-A,20A_12LL.JPG,20,12,20-A:12,None-5,Longest,10.046,1.099,6.36,oblong,smooth,,8.924,8.924,15.874,10.444,1.088,88.802,0.17,0.876,
Cen,Sin,Sin(Cen),20-A,20A_12ML.JPG,20,12,20-A:12,None-5,Medium leaf,12.136,0.699,5.675,oblong,smooth,,7.516,7.516,8.042,12.409,0.771,83.542,0.11,0.684,leaf partially folded
Bug,Sin,Sin(Bug),20-A,20A_13LL.JPG,20,13,20-A:13,None-5,Longest,5.104,1.071,2.869,oblong,smooth,,5.26,5.26,11.713,5.31,1.261,126.74,0.386,0.934,
Bug,Sin,Sin(Bug),20-A,20A_13ML.JPG,20,13,20-A:13,None-5,Medium leaf,6.1,1.325,3.749,oblong,smooth,,7.065,7.065,13.381,6.505,1.383,129.124,0.335,0.897,
Sin,None,None(Sin),20-A,20A_14LL.JPG,20,14,20-A:14,None-5,Longest,15.323,9.241,4.765,ovate,crenate,,92.339,92.339,55.159,14.48,8.12,23.555,0.567,0.921,
Sin,None,None(Sin),20-A,20A_14ML.JPG,20,14,20-A:14,None-5,Medium leaf,11.696,6.174,4.164,ovate,crenate,3,51.893,25.947,51.667,7.105,3.538,54.255,0.29,0.841,
Cen,None,None(Cen),20-A,20A_15LL.JPG,20,15,20-A:15,None-5,Longest,13.896,3.056,9.634,obovate,smooth,,23.849,23.849,22.386,12.218,2.485,5.958,0.292,0.857,
Cen,None,None(Cen),20-A,20A_15ML.JPG,20,15,20-A:15,None-5,Medium leaf,12.422,4.011,3.751,ovate,smooth,5,10.355,5.177,15.648,5.119,1.323,13.214,0.206,0.615,
Sin,Sin,Sin(Sin),20-B,20B_1LL.JPG,20,1,20-B:1,None-5,Longest,17.455,7.365,9.179,Elliptic,crenate,,89.443,89.443,59.559,16.275,6.997,173.828,0.521,0.93,
Sin,Sin,Sin(Sin),20-B,20B_1ML.JPG,20,1,20-B:1,None-5,Medium leaf,13.693,5.876,4.324,ovate,crenate,3,60.763,60.763,49.279,13.07,5.919,86.95,0.456,0.893,
Sin,Pap,Pap(Sin),20-B,20B_2LL.JPG,20,2,20-B:2,None-5,Longest,17.242,7.953,8.143,Elliptic,crenate,3,95.879,95.879,55.73,15.897,7.679,73.906,0.519,0.937,
Sin,Pap,Pap(Sin),20-B,20B_2ML.JPG,20,2,20-B:2,None-5,Medium leaf,11.846,6.095,5.574,Elliptic,crenate,,58.327,58.327,48.358,11.825,6.28,178.286,0.557,0.942,
Cen,Pap,Pap(Cen),20-B,20B_3LL.JPG,20,3,20-B:3,None-5,Longest,15.045,2.831,11.715,obovate,smooth,,27.346,27.346,18.503,14.12,2.466,166.679,0.268,0.874,picture askew
Cen,Pap,Pap(Cen),20-B,20B_3ML.JPG,20,3,20-B:3,None-5,Medium leaf,15.711,1.618,8.218,Elliptic,smooth,3,16.126,16.126,16.911,13.649,1.504,175.302,0.109,0.505,leaf partially folded
Pap,None,None(Pap),20-B,20B_4LL.JPG,20,4,20-B:4,None-5,Longest,9.134,1.946,7.318,obovate,toothed,7,13.689,13.689,28.812,8.601,2.026,170.993,0.134,0.63,not straight
Pap,None,None(Pap),20-B,20B_4ML.JPG,20,4,20-B:4,None-5,Medium leaf,9.397,3.403,6.749,obovate,toothed,3,21.566,21.566,32.586,8.581,3.2,5.745,0.276,0.753,
Cen,Sil,Sil(Cen),20-B,20B_5LL.JPG,20,5,20-B:5,None-5,Longest,9.674,1.265,6.443,obovate,smooth,,7.716,7.716,14.671,9.295,1.057,0.143,0.211,0.9,
Cen,Sil,Sil(Cen),20-B,20B_5ML.JPG,20,5,20-B:5,None-5,Medium leaf,9.91,0.491,5.59,obovate,smooth,,3.625,3.625,6.631,9.771,0.472,179.513,0.112,0.874,"leaf partially folded, picture has bad quality"
0,0,None,20-B,20B_6LL.JPG,20,6,20-B:6,None-5,Longest,6.105,3.148,3.818,obovate,toothed,,12.919,12.919,25.558,5.534,2.973,12.409,0.561,0.917,
0,0,None,20-B,20B_6ML.JPG,20,6,20-B:6,None-5,Medium leaf,6.814,2.131,4.676,obovate,toothed,,10.253,10.253,19.597,6.261,2.085,9.553,0.299,0.886,
Sil,None,None(Sil),20-B,20B_7LL.JPG,20,7,20-B:7,None-5,Longest,6.136,2.687,3.142,Elliptic,smooth,,10.327,10.327,25.85,5.526,2.38,87.767,0.534,0.947,
Sil,None,None(Sil),20-B,20B_7ML.JPG,20,7,20-B:7,None-5,Medium leaf,6.425,2.627,2.755,Elliptic,smooth,,11.447,11.447,25.627,5.896,2.472,129.701,0.52,0.94,
Sil,Pap,Pap(Sil),20-B,20B_9LL.JPG,20,9,20-B:9,None-5,Longest,1.868,1.277,0.8,Elliptic,smooth,,1.614,1.614,6.535,1.748,1.176,34.426,0.724,0.968,
Sil,Pap,Pap(Sil),20-B,20B_9ML.JPG,20,9,20-B:9,None-5,Medium leaf,1.414,0.819,0.506,Elliptic,smooth,,0,NaN,0,NaN,NaN,NaN,NaN,NaN,
Bug,Pap,Pap(Bug),20-B,20B_10LL.JPG,20,10,20-B:10,None-5,Longest,2.318,0.682,1.453,Oblong,smooth,,1.261,1.261,8.786,2.221,0.723,134.53,0.534,0.959,
Bug,Pap,Pap(Bug),20-B,20B_10ML.JPG,20,10,20-B:10,None-5,Medium leaf,3.401,0.744,2.171,oblong,smooth,,2.028,2.028,7.752,3.42,0.755,114.351,0.416,0.963,
Bug,Bug,Bug(Bug),20-B,20B_11LL.JPG,20,11,20-B:11,None-5,Longest,3.121,0.747,1.587,oblong,smooth,,1.849,1.849,7.75,3.301,0.713,167.685,0.392,0.945,
Bug,Bug,Bug(Bug),20-B,20B_11ML.JPG,20,11,20-B:11,None-5,Medium leaf,1.948,0.44,0.844,oblong,smooth,,0,NaN,0,NaN,NaN,NaN,NaN,NaN,
Sin,Bug,Bug(Sin),20-B,20B_13LL.JPG,20,13,20-B:13,None-5,Longest,10.036,5.906,3.7,Elliptic,crenate,,42.676,42.676,53.95,9.82,5.533,98.863,0.559,0.919,
Sin,Bug,Bug(Sin),20-B,20B_13ML.JPG,20,13,20-B:13,None-5,Medium leaf,9.018,6.536,3.277,Elliptic,crenate,,42.308,42.308,48.806,9.053,5.95,123.742,0.595,0.942,
Cen,None,None(Cen),20-B,20B_14LL.JPG,20,14,20-B:14,None-5,Longest,11.574,3.233,7.684,obovate,smooth,3,23.027,23.027,32.249,10.31,2.844,175.332,0.219,0.708,
Cen,None,None(Cen),20-B,20B_14ML.JPG,20,14,20-B:14,None-5,Medium leaf,11.445,1.583,8.242,obovate,smooth,3,13.955,13.955,18.515,10.19,1.744,175.981,0.145,0.478,
Pap,Cen,Cen(Pap),20-B,20B_15LL.JPG,20,15,20-B:15,None-5,Longest,8.218,2.235,5.768,obovate,toothed,3,11.512,11.512,18.743,7.562,1.938,24.887,0.236,0.707,
Pap,Cen,Cen(Pap),20-B,20B_15ML.JPG,20,15,20-B:15,None-5,Medium leaf,6.81,2.446,3.829,Elliptic,toothed,3,8.579,8.579,31.468,6.13,1.782,3.156,0.204,0.648,
Bug,Bug,Bug(Bug),22-A,22A_1LL.JPG,22,1,22-A:1,None-1,Longest,6.737,1.981,4.843,obovate,smooth,,9.397,9.397,20.759,6.73,1.778,31.518,0.435,0.947,
Bug,Bug,Bug(Bug),22-A,22A_1ML.JPG,22,1,22-A:1,None-1,Medium leaf,7.284,1.74,3.694,oblong,smooth,,10.175,10.175,28.123,7.022,1.845,179.07,0.449,0.983,
Cen,None,None(Cen),22-A,22A_2LL.JPG,22,2,22-A:2,None-1,Longest,17.751,2.512,13.506,obovate,smooth,5,27.906,27.906,23.728,16.151,2.2,0.619,0.119,0.518,
Cen,None,None(Cen),22-A,22A_2ML.JPG,22,2,22-A:2,None-1,Medium leaf,16.216,1.551,10.89,obovate,smooth,3,16.519,16.519,12.317,11.874,1.771,3.529,0.084,0.367,leaf partially folded
Pap,Cen,Cen(Pap),22-A,22A_3LL.JPG,22,3,22-A:3,None-1,Longest,4.454,1.411,2.764,obovate,crenate,,4.827,4.827,9.41,4.654,1.321,78.749,0.428,0.933,
Pap,Cen,Cen(Pap),22-A,22A_3ML.JPG,22,3,22-A:3,None-1,Medium leaf,3.815,0.912,2.633,obovate,toothed,,2.581,2.581,8.723,3.962,0.83,95.458,0.21,0.797,
Pap,Sin,Sin(Pap),22-A,22A_4LL.JPG,22,4,22-A:4,None-1,Longest,6.033,2.4,3.813,obovate,toothed,,9.731,9.731,22.452,5.757,2.152,100.006,0.363,0.851,
Pap,Sin,Sin(Pap),22-A,22A_4ML.JPG,22,4,22-A:4,None-1,Medium leaf,5.932,2.022,3.528,Oblong,toothed,,8.942,8.942,13.347,5.837,1.951,109.748,0.367,0.885,
Sin,Cen,Cen(Sin),22-A,22A_5LL.JPG,22,5,22-A:5,None-1,Longest,15.425,8.722,3.126,ovate,crenate,,87.428,87.428,54.618,14.576,7.637,90.921,0.428,0.91,
Sin,Cen,Cen(Sin),22-A,22A_5ML.JPG,22,5,22-A:5,None-1,Medium leaf,8.723,5.128,2.905,ovate,crenate,,28.637,28.637,47.603,8.252,4.419,133.752,0.383,0.916,
Bug,Bug,Bug(Bug),22-A,22A_9LL.JPG,22,9,22-A:9,None-1,Longest,5.521,1.572,3.659,Oblong,smooth,,6.627,6.627,19.758,5.151,1.638,28.221,0.44,0.823,
Bug,Bug,Bug(Bug),22-A,22A_9ML.JPG,22,9,22-A:9,None-1,Medium leaf,6.571,1.16,2.904,Oblong,smooth,,7.065,7.065,13.241,7.11,1.265,160.735,0.321,0.919,
0,0,None,22-A,22A_10LL.JPG,22,10,22-A:10,None-1,Longest,4.474,1.141,2.869,Oblong,smooth,,4.162,4.162,6.611,4.538,1.168,138.732,0.351,0.922,
0,0,None,22-A,22A_10ML.JPG,22,10,22-A:10,None-1,Medium leaf,4.285,1.356,1.865,Oblong,smooth,,4.441,4.441,10.715,4.318,1.309,64.458,0.494,0.957,
Pap,Bug,Bug(Pap),22-A,22A_11LL.JPG,22,11,22-A:11,None-1,Longest,6.111,1.834,4.302,obovate,toothed,,9.155,9.155,20.909,6.034,1.932,175.095,0.386,0.915,
Pap,Bug,Bug(Pap),22-A,22A_11ML.JPG,22,11,22-A:11,None-1,Medium leaf,3.586,1.439,2.375,obovate,toothed,,3.235,3.235,8.017,3.027,1.36,177.156,0.542,0.945,
Sin,None,None(Sin),22-A,22A_15LL.JPG,22,15,22-A:15,None-1,Longest,18.084,8.198,6.138,ovate,crenate,,106.621,106.621,55.113,18.075,7.51,95.887,0.387,0.882,
Sin,None,None(Sin),22-A,22A_15ML.JPG,22,15,22-A:15,None-1,Medium leaf,16.89,7.075,8.766,Elliptic,crenate,,84.232,84.232,60.21,16.507,6.497,8.456,0.427,0.895,
Bug,Sil,Sil(Bug),22-B,22B_2LL.JPG,22,2,22-B:2,None-1,Longest,7.204,1.429,3.244,Oblong,smooth,,8.639,8.639,21.957,7.285,1.51,127.887,0.34,0.946,
Bug,Sil,Sil(Bug),22-B,22B_2ML.JPG,22,2,22-B:2,None-1,Medium leaf,7.291,1.763,2.031,ovate,smooth,,8.115,8.115,21.788,6.327,1.633,95.036,0.348,0.879,
Sin,Sin,Sin(Sin),22-B,22B_3LL.JPG,22,3,22-B:3,None-1,Longest,13.98,6.573,3.598,ovate,toothed,3,61.608,61.608,46.686,12.844,6.107,95.341,0.326,0.895,
Sin,Sin,Sin(Sin),22-B,22B_3ML.JPG,22,3,22-B:3,None-1,Medium leaf,10.239,5.867,1.798,ovate,toothed,,42.179,42.179,50.077,9.769,5.498,86.297,0.561,0.933,herbivory
Bug,Sin,Sin(Bug),22-B,22B_4LL.JPG,22,4,22-B:4,None-1,Longest,8.004,1.524,5.807,Oblong,smooth,,8.696,8.696,15.057,7.906,1.4,138.63,0.054,0.922,
Bug,Sin,Sin(Bug),22-B,22B_4ML.JPG,22,4,22-B:4,None-1,Medium leaf,6.174,1.191,3.391,Oblong,smooth,,5.892,5.892,15.182,6.407,1.171,102.824,0.257,0.955,
Bug,Bug,Bug(Bug),22-B,22B_5LL.JPG,22,5,22-B:5,None-1,Longest,6.997,1.432,4.509,oblong,smooth,,7.734,7.734,23.395,6.991,1.409,90.961,0.307,0.976,
Bug,Bug,Bug(Bug),22-B,22B_5ML.JPG,22,5,22-B:5,None-1,Medium leaf,5.347,1.198,1.598,ovate,smooth,,5.154,5.154,13.827,5.11,1.284,85.011,0.299,0.852,
Sin,None,None(Sin),22-B,22B_6LL.JPG,22,6,22-B:6,None-1,Longest,11.271,5.193,4.357,ovate,crenate,,40.016,40.016,36.142,10.463,4.87,106.36,0.356,0.913,herbivory
Sin,None,None(Sin),22-B,22B_6ML.JPG,22,6,22-B:6,None-1,Medium leaf,7.9,3.697,2.057,ovate,crenate,2,21.39,21.39,48.79,7.494,3.634,78.987,0.431,0.869,herbivory
Cen,None,None(Cen),22-B,22B_7LL.JPG,22,7,22-B:7,None-1,Longest,6.474,0.899,3.41,obovate,smooth,,3.398,3.398,18.346,5.483,0.789,179.952,0.241,0.855,
Cen,None,None(Cen),22-B,22B_7ML.JPG,22,7,22-B:7,None-1,Medium leaf,9.907,0.375,5.155,oblong,smooth,,3,3,5.679,9.819,0.389,175.841,0.064,0.806,leaf partially folded
Pap,None,None(Pap),22-B,22B_8LL.JPG,22,8,22-B:8,None-1,Longest,10.622,3.158,6.908,obovate,toothed,5,19.67,19.67,30.024,10.032,2.497,100.87,0.129,0.699,
Pap,None,None(Pap),22-B,22B_8ML.JPG,22,8,22-B:8,None-1,Medium leaf,7.75,2.022,4.215,obovate,toothed,3,11.28,11.28,15.358,6.989,2.055,56.982,0.294,0.796,
Pap,Pap,Pap(Pap),22-B,22B_9LL.JPG,22,9,22-B:9,None-1,Longest,7.076,2.754,5.255,obovate,toothed,,13.616,13.616,26.611,6.553,2.646,1.922,0.455,0.892,
Pap,Pap,Pap(Pap),22-B,22B_9ML.JPG,22,9,22-B:9,None-1,Medium leaf,6.58,2.341,4.426,obovate,toothed,,10.077,10.077,21.38,6.141,2.089,73.33,0.484,0.929,
Sin,Sin,Sin(Sin),22-B,22B_11LL.JPG,22,11,22-B:11,None-1,Longest,17.856,8.135,9.012,Elliptic,crenate,,89.507,89.507,51.033,16.231,7.022,8.807,0.39,0.852,
Sin,Sin,Sin(Sin),22-B,22B_11ML.JPG,22,11,22-B:11,None-1,Medium leaf,12.748,6.874,3.141,ovate,crenate,,54.649,54.649,42.745,12.442,5.592,93.985,0.394,0.906,
0,0,None,22-B,22B_13LL.JPG,22,13,22-B:13,None-1,Longest,6.242,2.594,3.494,Elliptic,smooth,,11.636,11.636,16.87,6.131,2.417,67.798,0.468,0.951,
0,0,None,22-B,22B_13ML.JPG,22,13,22-B:13,None-1,Medium leaf,4.9,2.288,2.344,Elliptic,smooth,,7.805,7.805,25.96,4.398,2.259,169.506,0.532,0.959,
Pap,None,None(Pap),22-B,22B_14LL.JPG,22,14,22-B:14,None-1,Longest,5.59,2.194,2.907,Elliptic,toothed,,8.111,8.111,20.324,5.441,1.898,9.12,0.454,0.894,
Pap,None,None(Pap),22-B,22B_14ML.JPG,22,14,22-B:14,None-1,Medium leaf,3.311,1.324,1.605,Elliptic,toothed,,3.589,3.589,15.991,3.302,1.384,65.266,0.381,0.927,
